page,first_6_words,location,location_type,purchaser,item_purchased,purchased_with,purchased_from,created_by,notes
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,She ugly. He say...,Celie Childhood home,economic,Albert/Mr. ___,livestock,good,Alphonso,Radek Magulick ,Mr. ___ purchases Celie from Alphonso
9,That cow still coming? Her...,Celie Childhood home,economic,Albert/Mr. ___,livestock,good,Alphonso,Radek Magulick ,Mr. ___ gets a cow from Alphonso as part of a deal.
10,,,,,,,,,
11,,,,,,,,,
12,"She say, Naw, he won't...",Celie Childhood home,economic,Alphonso,good,money,,Radek Magulick ,Sewing machine is mentioned when Celie’s stepmother is described as using it to make clothes
12,They sit and they talk,Celie Childhood home,economic,Alphonso,good,money,,Radek Magulick ,The chairs are part of the domestic scene in the home where Celie lives with her stepfather Alphonso.
13,I was in town sitting on ,Town,movement,,,,,Jake Henry ,Celie & Mr.__ in town
13,Her ma is buying cloth. she ,Unnamed store in town (fabric),economic,Corrine ,good,money,Unnamed store clerk fabric,Jake Henry ,Celie sees Olivia with Corrine and follow them into a store 
14,,,,,,,,,
15,,,,,,,,,
16,Nettie here with us. she run,Celie and Albert House,movement,,,,,Jake Henry ,Nettie leaves Celie's house after being kicked out by Albert 
17,,,,,,,,,
18,,,,,,,,,
19,Two of his siser come to visit,Celie and Albert House,movement,,,,,Jake Henry ,Start of New Chapter 
20,go with me in the store ,Unnamed store in town (dress),movement,,,,,Jake Henry ,Kate & Celie go to town to buy Celie clothes 
21,First one in my own dress ,Unnamed store in town (dress),economic,Kate,good,money,Unnamed store clerk dress store,Jake Henry ,Kate buys Celie a new blue dress in town store 
22,"Harpo ast me, How come you",Celie and Albert House,movement,,,,,,Start of New Chapter 
23,,,,,,,,,
24,Shug Avery is coming,Town,movement,,,,,Jake Henry ,Shug Avery is coming from Memphis to town (Lucky Star - Coalman road) 
25,,,,,,,,,
26,Mr.__ be gone all night Saturday,Celie and Albert House,movement,,,,,Jake Henry ,Start of New Chapter ; Mr.__ out at Lucky Star & returns home
27,Harpo no better at fighting his ,Celie and Albert House,movement,,,,,Jake Henry ,Start of New Chapter ; Celie & Harpo working in field 
28,He say he sit in the,Town,movement,Harpo,,,,Kyle Carey ,Movement to parlor in town
29,Then he go sit on the,Celie and Albert House,movement,Harpo,,,,Kyle Carey ,Movement to porch on house - also page 28
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,"Dear God, Harpo went and brought",Sofia's sister's house,movement,Sofia,,,,Kyle Carey ,Sofia and Harpo got married at Sofia's sister's house
34,,,,,,,,,
35,"Dear God, Harpo want to know",Celie and Albert House,movement,Celie,,,,Kyle Carey ,Start of new letter
36,,,,,,,,,
37,"Dear God, Just when I was",Celie and Albert House,movement,Celie,,,,Kyle Carey ,Start of new letter
38,Mr. _ start complaining bout the,Celie and Albert House,economic,Albert/Mr. ___,good,,,Kyle Carey ,Mr. _ talks about the prices of kersone - start of new letter
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,He talk bout a strumpet in ,"Memphis, TN",movement,,,,,Doria Guadagnoli,Albert and Harpo bring Shug from Memphis to their home 
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,"Dear God, Mr. ____daddy show up ",Celie and Albert House,movement,,,,,Doria Guadagnoli,Albert's dad comes to visit Shug
