location,lat,long,location_type,n
Africa,5.369085,-9.236846,economic,3
Celie Childhood home,33.02050024570996,-83.3850089234675,economic,4
Celie and Albert House,32.99976696381827,-83.5599840688572,economic,1
Celie and Albert House,32.99976696381827,-83.5599840688572,movement,17
Celie's house,33.0095,-83.56,economic,5
Celie's house,33.0095,-83.56,movement,1
Church,33.000293380412984,-83.56244100330822,movement,1
Dakar,14.716488953668934,-17.468232710460033,movement,2
Governor's Mansion,6.302579359507444,-10.795601285031939,movement,1
Harpo and Sofia's house,33.00023939282284,-83.55957640425451,economic,1
Harpo and Sofia's house,33.00023939282284,-83.55957640425451,movement,3
Harpo and Sofia's house,33.00023939282284,-83.55957640425451,NA,1
Lisbon,38.716196,-9.126094,movement,1
London,51.505154784266445,-0.14148688031308002,economic,1
London,51.505154784266445,-0.14148688031308002,movement,3
"Memphis, TN",35.15221330647191,-90.06958208625237,economic,4
"Memphis, TN",35.15221330647191,-90.06958208625237,movement,6
Miss Milli's house,32.999402580951326,-83.557033670263,economic,1
Miss Milli's house,32.999402580951326,-83.557033670263,movement,1
Monrovia,6.310806,-10.810706,economic,2
Monrovia,6.310806,-10.810706,movement,2
Nettie's Hut,6.246110209792395,-10.380621829537105,movement,1
Odessa's House,33.0024258637983,-83.55732334881901,movement,2
Olinka Village,6.251275915595865,-10.378889436404226,economic,3
Olinka Village,6.251275915595865,-10.378889436404226,movement,6
Prison,33.00170364598371,-83.55012045508698,movement,1
Samuel and Corrine's hut,6.246110209792395,-10.380621629537105,movement,1
Sofia's sister's house,32.99444862740186,-83.55602370868331,movement,1
Southampton,50.906648,-1.411139,movement,1
The Forest,6.248908306766154,-10.335151559799025,movement,1
Town,33.00400454352426,-83.5461746372433,movement,3
Tucson,32.2515753718344,-110.97931956143863,movement,1
Unknown place where Shug buys her car,35.1423794559834,-90.05283734326031,economic,1
Unknown place where Shug buys her clothing,35.13713103323558,-90.05711609106096,economic,2
Unnamed store in town (dress),33.00212893882091,-83.55048908066463,economic,1
Unnamed store in town (dress),33.00212893882091,-83.55048908066463,movement,1
Unnamed store in town (fabric),33.00037436173625,-83.55293525513748,economic,1
West Coast Africa,16.186562850355916,-16.665029397655395,economic,1
