location,lat,long,total_characters,Landowner ,Farmer,Maid,Farmer ,Business Owner,The Mayor,Traders,Singer,House Wife ,Seamstress,Corporation,Female,Male,Group,Black,White,Lower,Middle,Poor,Upper
Africa,5.369085,-9.236846,3,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,1,2,1,0,0
Celie Childhood home,33.02050024570996,-83.3850089234675,4,2,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0
Celie and Albert House,32.99976696381827,-83.5599840688572,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Celie's house,33.0095,-83.56,5,0,3,0,1,0,0,0,0,1,1,0,1,3,0,4,0,3,0,1,0
Harpo and Sofia's house,33.00023939282284,-83.55957640425451,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
London,51.505154784266445,-0.14148688031308002,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"Memphis, TN",35.15221330647191,-90.06958208625237,4,0,0,0,1,0,0,0,2,1,1,0,3,0,0,3,0,0,2,1,0
Miss Milli's house,32.999402580951326,-83.557033670263,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Monrovia,6.310806,-10.810706,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0
Olinka Village,6.251275915595865,-10.378889436404226,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
Unknown place where Shug buys her car,35.1423794559834,-90.05283734326031,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
Unknown place where Shug buys her clothing,35.13713103323558,-90.05711609106096,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0
Unnamed store in town (dress),33.00212893882091,-83.55048908066463,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Unnamed store in town (fabric),33.00037436173625,-83.55293525513748,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
West Coast Africa,16.186562850355916,-16.665029397655395,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
